,cooler,valve,pump,accumulator
PS1_mean,0.049679026,0.00010789894,0.0027631973,0.004317593
PS1_std,0.004244353,0.00091970287,0.00035267204,0.0072287726
PS1_rms,0.023201333,9.1906455e-05,0.0020372965,0.0010624861
PS1_min,0.15509473,9.5235606e-05,0.002663345,0.003327064
PS1_max,0.0001752193,0.00015777552,0.003948931,0.0010214213
PS1_range,0.0027497988,1.1136212e-05,0.0005391944,0.0011957773
PS1_kurt,6.678515e-06,0.009908278,0.00010725444,0.001267553
PS1_skew,0.0017987784,0.001136156,0.00015881089,0.006306064
PS1_slope,0.0045998525,0.00048626395,0.00010162131,0.001662299
PS1_argmax,0.0,1.7100587e-05,0.0001378901,0.014968663
PS2_mean,0.005222604,0.00050675735,0.0001730614,0.00034987536
PS2_std,0.00011047598,0.0029962144,4.10989e-05,5.4631623e-06
PS2_rms,0.002749917,2.9200146e-05,1.6248448e-05,0.0007243623
PS2_min,0.0,0.0,0.0,0.0
PS2_max,0.00016746373,8.9008085e-05,1.4356448e-05,0.0012411383
PS2_range,0.0,5.4000408e-05,2.0276704e-05,0.0005294609
PS2_kurt,0.0,0.06623927,0.0005151131,0.00056903437
PS2_skew,0.0,0.017060947,0.00023198493,0.00026604885
PS2_slope,0.0,0.0019544081,0.00024638014,0.0
PS2_argmax,0.0,0.15110213,1.2994598e-05,3.303553e-05
PS3_mean,0.005041113,9.4570816e-05,0.00030405543,0.0031795967
PS3_std,1.1778017e-05,0.00020126376,0.008544081,0.0256556
PS3_rms,0.0020239237,0.0,0.0007485628,0.0052165636
PS3_min,0.0,0.0,0.0,0.0
PS3_max,0.00041730603,0.0001162376,0.0004974059,0.0031662593
PS3_range,0.0,5.296672e-05,8.939875e-05,0.0014851505
PS3_kurt,0.0,0.00010894647,0.000103323786,0.0025175654
PS3_skew,0.0,7.5772165e-05,0.0009805182,0.027867034
PS3_slope,0.003118004,0.00030476545,0.000522734,0.0012059534
PS3_argmax,0.0,0.43632054,7.982186e-06,0.0024357582
PS4_mean,0.0,0.0,2.1079954e-05,0.008797456
PS4_std,0.0,9.866428e-05,0.0,0.00024430573
PS4_rms,0.0,0.0,0.0,0.003980822
PS4_min,0.0,2.2617269e-05,0.0,0.0006761806
PS4_max,0.0,1.167351e-05,5.710799e-05,0.0006769754
PS4_range,0.0,0.00018213099,0.0,1.0137351e-05
PS4_kurt,0.0,0.0,0.0,0.0
PS4_skew,0.0,0.0,1.4487492e-05,0.00010632163
PS4_slope,0.0,9.993324e-05,5.376987e-06,7.17709e-05
PS4_argmax,0.0,0.0,0.0,1.928932e-05
PS5_mean,0.011718203,0.0,0.00015814109,0.0385347
PS5_std,0.0,5.0793583e-06,0.00013922282,0.00106205
PS5_rms,0.008174812,4.0600058e-05,7.060106e-05,0.016415866
PS5_min,0.014951508,0.0,1.0122378e-05,0.0053212508
PS5_max,0.17703076,5.2043906e-06,4.0029823e-05,0.020984448
PS5_range,0.0,0.0,4.7443114e-05,0.00017868496
PS5_kurt,0.0,1.3689099e-05,0.00020628903,0.0015463678
PS5_skew,0.0,4.378986e-05,0.00014836263,0.0035496403
PS5_slope,0.0,4.4543674e-05,1.1152045e-05,3.5846235e-05
PS5_argmax,7.987795e-06,4.4750323e-06,0.0,2.1752161e-05
PS6_mean,0.0021359266,1.4848336e-05,0.00015126434,0.0018043023
PS6_std,0.07267004,6.743652e-06,0.00035872599,0.004076541
PS6_rms,0.0,0.0,0.0,0.00071880384
PS6_min,0.06648586,2.9814904e-05,2.9954941e-05,0.0021437318
PS6_max,0.025400266,0.0,0.0,0.0041204956
PS6_range,0.0,8.003046e-06,0.0,0.00011465876
PS6_kurt,3.0592837e-05,3.4246154e-05,0.0003553582,0.002628469
PS6_skew,3.353398e-05,1.00482375e-05,0.0,0.004081448
PS6_slope,0.000104876744,2.2403223e-05,0.0,2.3303151e-05
PS6_argmax,0.0,3.5089237e-05,1.335191e-05,0.0
EPS1_mean,0.00011209528,5.6379256e-05,0.0015645245,0.0056598266
EPS1_std,0.0,0.0006311018,9.716108e-05,0.0008687306
EPS1_rms,0.0,0.0,0.0015413233,0.0017883963
EPS1_min,0.02518473,7.22565e-05,0.037223145,0.0031007961
EPS1_max,0.012347176,0.0,0.039989375,0.0030427314
EPS1_range,0.0,0.0001558467,9.3669245e-05,0.0002437101
EPS1_kurt,7.3898016e-05,0.0024431143,3.060892e-05,0.00031436566
EPS1_skew,0.0,0.00048361765,0.0,0.00038456207
EPS1_slope,0.0,0.00031491337,0.0,0.00061642594
EPS1_argmax,0.0,0.00012339692,3.5163273e-05,4.152844e-05
FS1_mean,0.0,2.7475204e-05,0.03316795,0.002063673
FS1_std,0.0,0.00029922507,0.0061511197,0.004388278
FS1_rms,0.0,1.717642e-06,0.035968285,0.004154557
FS1_min,0.0,0.0,0.0,0.0
FS1_max,0.0,0.0003590721,0.00011549282,0.00059976126
FS1_range,0.0,1.974776e-05,0.0,8.840592e-05
FS1_kurt,0.00014221192,0.0007934007,7.459219e-05,0.041397203
FS1_skew,0.0,0.00029734566,0.0,0.0463377
FS1_slope,0.0,0.003573395,0.008864062,0.00033367387
FS1_argmax,0.0,0.016752033,0.0,0.0
FS2_mean,0.00096968864,0.0,0.0,0.06226852
FS2_std,0.00015964978,2.8620512e-05,7.661696e-05,0.0027115783
FS2_rms,0.0,0.0,0.0,0.028541084
FS2_min,0.0,0.0,0.0,0.002237213
FS2_max,0.00017443321,2.6418451e-05,0.0,0.0034520878
FS2_range,0.002031519,1.6061738e-05,0.0,0.00026004945
FS2_kurt,0.0,4.858167e-06,3.3064145e-05,0.0001574735
FS2_skew,0.0,1.4403065e-05,6.5003182e-06,2.9916291e-05
FS2_slope,0.0,1.1110055e-05,0.0,8.55504e-05
FS2_argmax,0.0,2.8042941e-05,1.0068097e-05,1.0914082e-05
TS1_mean,0.0011181786,4.783324e-05,0.000114920316,0.022192895
TS1_std,7.5511845e-05,6.2464926e-05,0.000118595504,0.0007149703
TS1_rms,0.0,0.0,0.0,0.00692988
TS1_min,0.002164121,5.0852206e-05,0.00063955947,0.002370814
TS1_max,0.0,1.77364e-05,2.5515446e-05,0.0035381832
TS1_range,0.0,0.00016001234,3.4416898e-06,0.00019531662
TS1_kurt,0.00010499945,5.394745e-05,0.00020603662,0.00010442857
TS1_skew,0.0,0.00019658227,0.000449693,0.00042246984
TS1_slope,0.0,7.3258807e-06,0.0,0.0013649411
TS1_argmax,0.0,0.0,0.00016438459,2.7081044e-06
TS2_mean,0.0,3.7482262e-06,0.002321445,0.0023182384
TS2_std,0.00028061183,1.7244129e-05,8.636051e-06,0.0008141596
TS2_rms,0.0,0.0,0.0018926032,0.00024650057
TS2_min,0.0,0.0,0.0065180804,0.0034902876
TS2_max,0.0,1.5814361e-05,0.004080942,0.0051845284
TS2_range,0.0,2.5670872e-05,1.880702e-05,0.00027718476
TS2_kurt,0.0,1.4423735e-05,0.0,2.9538116e-05
TS2_skew,0.0,0.00016212597,4.0676106e-05,0.0008315477
TS2_slope,6.443061e-05,0.0,0.000104846535,0.0002083573
TS2_argmax,0.0,0.0,0.00016253482,4.7702497e-06
TS3_mean,0.0,0.0,1.0965293e-05,0.0045503713
TS3_std,0.0,3.2691987e-05,0.0,0.00032495664
TS3_rms,0.0,0.0,0.0,0.00019611389
TS3_min,0.0,0.0,0.0,1.1362424e-05
TS3_max,0.0,0.0,0.0,0.0018793509
TS3_range,0.0,2.751871e-06,3.4440774e-05,0.00016112276
TS3_kurt,0.0,2.1541202e-05,0.0,2.7178643e-05
TS3_skew,0.0,3.3449356e-05,0.0006757569,0.00017890854
TS3_slope,0.0,1.6517277e-05,3.2991284e-05,3.5884463e-05
TS3_argmax,0.0,0.0,4.4197175e-05,7.6533215e-05
TS4_mean,0.0,1.8159479e-05,0.0,0.051528234
TS4_std,0.0,2.2568433e-05,0.0,1.3319342e-05
TS4_rms,0.0,0.0,0.0,0.019447966
TS4_min,0.0,0.0,0.0,0.0010269479
TS4_max,0.0,0.0,0.0,0.010419681
TS4_range,0.0,1.2978962e-05,6.015977e-05,7.4572636e-06
TS4_kurt,0.0,8.058779e-06,1.203789e-05,5.6783432e-05
TS4_skew,0.0,2.5634463e-05,2.5313508e-05,5.180207e-05
TS4_slope,0.0,0.0,6.490182e-05,1.6619791e-05
TS4_argmax,0.0,0.0,0.0,2.9029572e-05
VS1_mean,0.00017969776,9.204825e-06,0.0009185447,0.0023645645
VS1_std,0.0,6.667501e-05,0.00062802347,0.0019906699
VS1_rms,0.0,0.0,0.00066192506,0.0013141384
VS1_min,0.0,3.499224e-05,0.00023529195,0.00046352795
VS1_max,0.00015608576,0.0,0.0062633865,0.0004796004
VS1_range,0.0,0.0,0.010466477,0.00024797546
VS1_kurt,0.0,6.816964e-05,0.0004917517,9.393727e-05
VS1_skew,0.0,5.016825e-05,0.0012965723,0.0009825409
VS1_slope,0.0,9.097735e-06,0.0015089376,0.0009854176
VS1_argmax,0.0,8.185583e-06,0.0,6.292029e-05
CE_mean,0.00031979106,0.0,1.2899701e-05,0.015337735
CE_std,0.0,1.2276523e-05,1.3264489e-05,3.363468e-05
CE_rms,0.0,1.002451e-05,0.0,0.005096988
CE_min,0.0,3.3156004e-05,8.306921e-06,0.026219007
CE_max,0.0,3.17877e-05,0.0,0.0020890473
CE_range,0.0,0.0,2.454487e-05,0.0
CE_kurt,0.0,1.4891181e-05,1.2196776e-05,7.037335e-05
CE_skew,0.0,0.00010733457,2.9481256e-05,2.4097166e-05
CE_slope,0.0,0.0,0.0,3.1502932e-05
CE_argmax,0.0,0.0,0.0,4.3767435e-05
CP_mean,0.0,5.8832434e-06,3.568372e-05,0.00092484837
CP_std,0.0,1.0727095e-05,0.0,6.455231e-05
CP_rms,0.0,0.0,0.0,0.0004911061
CP_min,0.0,1.3438591e-05,0.00018879831,0.0004274366
CP_max,0.0025886644,3.7067064e-05,0.0,0.0002211579
CP_range,0.0,0.0,9.688035e-06,4.8223403e-05
CP_kurt,0.0,1.1490244e-05,0.0,0.0006726003
CP_skew,0.0,0.0,0.0001418721,2.3276481e-05
CP_slope,0.0,1.2484796e-05,3.707289e-05,1.05529225e-05
CP_argmax,0.0,0.0,3.9017654e-05,0.0
SE_mean,0.0,1.3057976e-05,0.009697982,2.604049e-05
SE_std,0.0,0.00028894452,0.015579972,0.00025469027
SE_rms,0.0,1.7046368e-05,0.23104621,9.900703e-05
SE_min,0.0,0.0,0.0,0.0
